Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2025-02-15 09:40 (-07),On Demand,Jenn Sherman,10,Cycling,Music,10 min Justin Timberlake Cool Down Ride,2024-05-16 16:35 (-07),108,179,50%,74,20.38,3.40,140,145.94,,
2025-02-15 09:51 (-07),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min AFO Post-Ride Stretch: The 1975,2022-08-19 05:15 (-07),,,,,,,39,107.94,,
2025-02-15 16:16 (-07),On Demand,Denis Morton,60,Cycling,Music,60 min Classic Rock Ride,2025-01-25 13:57 (-07),639,178,44%,87,20.14,20.15,820,143.53,,
2025-02-15 17:17 (-07),On Demand,Denis Morton,5,Cycling,Cool Down,5 min Cool Down Ride,2024-11-14 22:00 (-07),27,92,32%,93,15.62,1.29,52,123.96,,
2025-02-15 17:23 (-07),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-10-24 21:00 (-07),,,,,,,31,98.02,,
2025-02-16 10:02 (-07),On Demand,Emma Lovewell,45,Cycling,Intervals,45 min HIIT & Hills Ride,2025-02-16 05:53 (-07),563,209,52%,76,21.58,16.19,703,156.24,,
2025-02-16 10:48 (-07),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2024-10-29 21:00 (-07),20,69,29%,86,13.81,1.14,52,124.43,,
2025-02-16 10:53 (-07),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2024-09-03 21:00 (-07),,,,,,,40,107.90,,
2025-02-16 15:07 (MST),,,58,Walking,,58 min 48 sec Outdoor Walking,,0,,,,2.34,2.53,284,88.50,,
2025-02-17 08:47 (MST),On Demand,Nico Sarani,30,Yoga,Flow,30 min Ambient Yoga Flow,2025-02-16 11:23 (MST),,,,,,,138,82.56,,
2025-02-17 09:20 (MST),On Demand,Denis Morton,30,Yoga,Slow Flow,30 min Slow Flow,2025-02-15 11:26 (MST),,,,,,,142,83.78,,
2025-02-17 09:53 (MST),On Demand,Chelsea Jackson Roberts,5,Meditation,Morning,5 min Morning Meditation,2025-02-13 05:55 (MST),,,,,,,,68.89,,
2025-02-17 10:00 (MST),Live,Emma Lovewell,20,Strength,Core,20 min Core Strength,2025-02-17 09:58 (MST),,,,,,,126,96.89,,
2025-02-18 00:34 (MST),On Demand,Kirra Michel,10,Meditation,Sleep,10 min Sleep Meditation,2024-10-13 16:00 (MST),,,,,,,,61.43,,
2025-02-18 09:00 (-07),On Demand,Denis Morton,30,Yoga,Flow,30 min Yoga Flow,2025-02-14 05:26 (-07),,,,,,,139,86.03,,
2025-02-18 09:32 (-07),On Demand,Ben Alldis,15,Strength,Core,15 min Core Strength,2025-02-17 04:25 (-07),,,,,,,104,99.18,,
2025-02-18 10:36 (-07),On Demand,Christian Vande Velde,60,Cycling,Theme,60 min Real Routes: Milan to San Remo,2025-02-14 04:25 (-07),623,173,40%,99,19.98,19.98,862,148.01,,
2025-02-18 11:37 (-07),On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,2024-04-17 08:00 (-07),19,62,26%,90,12.87,1.08,51,125.96,,
2025-02-18 11:43 (-07),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min AFO Post-Ride Stretch: The 1975,2022-08-19 05:15 (-07),,,,,,,40,108.65,,
2025-02-19 08:50 (-07),On Demand,Kirra Michel,20,Yoga,Power,20 min Power Flow,2025-02-18 17:25 (-07),,,,,,,132,99.03,,
2025-02-19 09:11 (-07),On Demand,Kirra Michel,20,Yoga,Flow,20 min Yoga Flow,2025-02-18 15:57 (-07),,,,,,,121,96.18,,
